lab_id,sample_id,d13C,f14C,f14C_sd,c14bp,sd,part
AA111457,88-3 Inner,-23.5,0.6619,0.0019,3314,23,inner
AA110275,88-3 Outer,-22.8,0.6633,0.0019,3297,23,outer
AA110272,88-2 Inner,-24.4,0.6581,0.0017,3361,21,inner
AA110273,88-2 Outer,-23.4,0.6598,0.0019,3341,23,outer
AA110274,88-2 Bark,-24.2,0.6630,0.0018,3301,23,bark
AA111456,88-1 Inner,-24.6,0.6551,0.0018,3398,21,inner
AA110271,88-1 Outer,-23.1,0.6615,0.0018,3320,22,outer
AA111458,72-2 Inner,-24.6,0.6583,0.0019,3358,23,inner
AA111459,72-2 Outer,-22.8,0.6596,0.0020,3342,24,outer
