witness,year,idx,id,raw_id,is_kalend,n_words,SCOT,SCOT_AMBIG,INSULAR,MIDLAND,MUNSTER,TERRITORY,IONA,sha1
AI,623,1,AI623.1,AI623.1,0,31,0,0,0,0,0,0,0,d4a2bb008e98
AI,624,1,AI624.1,AI624.1,0,11,0,0,0,1,0,0,0,f1efc3b5db63
AI,624,2,AI624.2,AI624.2,0,8,1,0,0,0,0,0,1,52726017c21e
AI,624,5,AI624.5,AI624.5,0,12,0,0,0,0,0,0,0,2838c6064070
AI,625,1,AI625.1,AI625.1,0,12,0,0,0,0,0,0,0,30fd100f6f71
AI,625,2,AI625.2,AI625.2,0,5,0,0,0,0,0,0,0,679b36ed9c88
AI,626,1,AI626.1,AI626.1,0,9,0,0,0,0,0,0,0,b7eab26bdfd0
AI,626,2,AI626.2,AI626.2,0,6,0,0,0,0,0,0,0,8b6f07a158be
AI,626,3,AI626.3,AI626.3,0,8,0,0,0,0,0,0,0,321d9bcd3b0d
AI,627,1,AI627.1,AI627.1,0,12,0,0,0,0,0,0,0,74606600e391
AI,628,1,AI628.1,AI628.1,0,14,0,0,0,0,1,0,0,a201521b9116
AI,629,1,AI629.1,AI629.1,0,22,0,0,0,0,1,0,0,24e0a2580a4d
AI,630,1,AI630.1,AI630.1,0,15,0,0,0,0,0,0,0,75ad3fcfdb83
AI,631,1,AI631.1,AI631.1,0,10,0,0,0,0,0,0,0,c1c9f4b740be
AI,631,2,AI631.2,AI631.2,0,18,0,0,0,0,0,0,0,43a85d3dcd9d
AI,631,3,AI631.3,AI631.3,0,12,0,0,0,0,0,0,0,3b5e0bf7a0f9
AI,632,1,AI632.1,AI632.1,0,6,0,0,0,0,0,0,0,fd602e757a72
AI,632,2,AI632.2,AI632.2,0,7,0,0,0,0,0,0,0,bc11b47c8488
AI,633,1,AI633.1,AI633.1,0,8,0,0,0,0,0,0,0,1f61a7c157bf
AI,633,2,AI633.2,AI633.2,0,21,0,1,1,0,0,0,0,689fa7e7f15a
