jd_tt,year,month,day,date_julian_cal,weekday,gamma,geo_sep_deg,delta_t_central_s,delta_t_sigma_s,Armagh_mag_central,Armagh_alt_central,Armagh_ut_central,Armagh_mag_max_over_dt,Armagh_mag_min_over_dt,Iona_mag_central,Iona_alt_central,Iona_ut_central,Iona_mag_max_over_dt,Iona_mag_min_over_dt,Clonmacnoise_mag_central,Clonmacnoise_alt_central,Clonmacnoise_ut_central,Clonmacnoise_mag_max_over_dt,Clonmacnoise_mag_min_over_dt,Bangor_mag_central,Bangor_alt_central,Bangor_ut_central,Bangor_mag_max_over_dt,Bangor_mag_min_over_dt,Jarrow_mag_central,Jarrow_alt_central,Jarrow_ut_central,Jarrow_mag_max_over_dt,Jarrow_mag_min_over_dt,Rome_mag_central,Rome_alt_central,Rome_ut_central,Rome_mag_max_over_dt,Rome_mag_min_over_dt,Constantinople_mag_central,Constantinople_alt_central,Constantinople_ut_central,Constantinople_mag_max_over_dt,Constantinople_mag_min_over_dt,Alexandria_mag_central,Alexandria_alt_central,Alexandria_ut_central,Alexandria_mag_max_over_dt,Alexandria_mag_min_over_dt,irish_mag_central,irish_mag_max_over_dt,irish_mag_min_over_dt
1867169.23069,400,1,12,0400-01-12,4,-0.2733,0.2466,6535.1,50.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
1867346.7192,400,7,8,0400-07-08,0,0.4166,0.4143,6535.1,50.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.3166,-0.7,02:36,0.3808,0.2678,0.0,,,0.0,0.0,0.0,0.0,0.0
1867523.35535,400,12,31,0400-12-31,1,-0.9473,0.8933,6535.1,50.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
1867671.70655,401,5,29,0401-05-29,3,-1.5078,1.3864,6525.7,50.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
1867701.20629,401,6,27,0401-06-27,4,1.2292,1.1594,6525.7,50.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
1867848.30947,401,11,21,0401-11-21,4,1.1532,1.1707,6525.7,50.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
1868025.77996,402,5,18,0402-05-18,0,-0.7798,0.6992,6516.2,50.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
1868202.9654,402,11,11,0402-11-11,2,0.4911,0.499,6516.2,50.0,0.8077,-0.3,07:57,0.8162,0.7967,0.7561,-0.7,08:01,0.7579,0.7445,0.8436,-0.7,07:55,0.849,0.8327,0.7916,0.0,07:57,0.8025,0.7803,0.7472,2.1,07:59,0.7584,0.7356,0.8957,17.7,07:59,0.9131,0.8786,0.6746,27.4,08:17,0.6935,0.6556,0.8608,36.9,08:21,0.8832,0.8384,0.8436,0.849,0.8327
1868379.83618,403,5,7,0403-05-07,4,-0.007,0.0065,6506.8,50.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
1868557.52957,403,11,1,0403-11-01,0,-0.1966,0.1915,6506.8,50.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
1868734.14521,404,4,25,0404-04-25,1,0.7538,0.7276,6497.3,50.0,0.4732,41.0,14:42,0.4802,0.4665,0.5266,39.6,14:42,0.5331,0.5203,0.4523,42.5,14:40,0.46,0.445,0.4764,40.2,14:44,0.4832,0.4702,0.4661,37.6,14:48,0.4714,0.4611,0.0366,30.4,15:10,0.0374,0.0364,0.0415,15.1,15:26,0.0467,0.0366,0.0,,,0.0,0.0,0.5266,0.5331,0.5203
1868911.8323,404,10,20,0404-10-20,4,-0.9413,0.8679,6497.3,50.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
1869059.40429,405,3,16,0405-03-16,4,-1.1069,1.1297,6487.8,50.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
1869088.73067,405,4,15,0405-04-15,6,1.4443,1.4596,6487.8,50.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0167,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
1869236.12019,405,9,9,0405-09-09,6,1.3286,1.1966,6487.8,50.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.1207,28.5,13:44,0.1319,0.1091,0.0281,26.0,14:06,0.039,0.0168,0.0,0.0,0.0
1869414.08372,406,3,6,0406-03-06,2,-0.4141,0.4154,6478.4,50.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
1869590.24908,406,8,29,0406-08-29,3,0.5631,0.528,6478.4,50.0,0.3975,26.1,16:16,0.4069,0.3882,0.3874,25.7,16:12,0.3965,0.3784,0.4124,26.9,16:18,0.4225,0.4029,0.3889,25.4,16:16,0.398,0.3798,0.3586,22.7,16:18,0.3668,0.3505,0.3592,10.0,16:48,0.3646,0.3541,0.3102,-0.9,16:40,0.3222,0.2823,0.1216,-0.5,16:24,0.1948,0.071,0.4124,0.4225,0.4029
1869768.59074,407,2,24,0407-02-24,0,0.3195,0.3046,6468.9,50.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
1869944.68663,407,8,19,0407-08-19,1,-0.2024,0.2004,6468.9,50.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
1870122.79258,408,2,13,0408-02-13,4,1.0793,0.98,6459.4,50.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.389,-0.8,05:03,0.4409,0.3128,0.3069,-0.9,04:45,0.3527,0.2387,0.0,0.0,0.0
1870299.34651,408,8,7,0408-08-07,5,-0.9137,0.932,6459.4,50.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
1870447.01791,409,1,2,0409-01-02,6,-1.2407,1.1302,6450.0,50.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
1870624.69842,409,6,29,0409-06-29,2,0.9149,0.8976,6450.0,50.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
1870801.22534,409,12,22,0409-12-22,3,-0.5007,0.48,6450.0,50.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
1870979.10619,410,6,18,0410-06-18,6,0.162,0.1505,6440.5,50.0,0.3628,59.2,12:45,0.3663,0.359,0.3103,57.2,12:45,0.3135,0.3066,0.3938,60.3,12:43,0.397,0.3902,0.3517,58.7,12:47,0.3554,0.3476,0.3286,57.5,12:51,0.3334,0.3236,0.5672,55.8,13:27,0.5791,0.5551,0.4161,40.1,13:47,0.4298,0.4025,0.619,35.6,14:03,0.6346,0.6031,0.3938,0.397,0.3902
1871155.7253,410,12,12,0410-12-12,1,0.2045,0.206,6440.5,50.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
1871333.22312,411,6,7,0411-06-07,3,-0.6204,0.5572,6431.0,50.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
1871510.37222,411,12,1,0411-12-01,5,0.8626,0.8803,6431.0,50.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
1871657.70554,412,4,27,0412-04-27,6,1.4232,1.3211,6421.6,50.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
1871687.25763,412,5,26,0412-05-26,0,-1.3647,1.2397,6421.6,50.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
1871835.42968,412,10,21,0412-10-21,1,-1.2222,1.1712,6421.6,50.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
1872012.09758,413,4,16,0413-04-16,3,0.6077,0.5957,6412.1,50.0,0.9561,45.6,13:03,0.9641,0.9479,0.9115,43.6,13:05,0.918,0.9045,0.9724,46.9,13:01,0.9807,0.9637,0.9553,45.1,13:05,0.9625,0.9476,0.9708,43.7,13:11,0.9764,0.9643,0.6301,45.4,13:33,0.6352,0.6255,0.5744,30.3,13:57,0.5749,0.5742,0.2707,29.9,14:03,0.2721,0.2697,0.9724,0.9807,0.9637
1872189.64732,413,10,11,0413-10-11,6,-0.5561,0.5065,6412.1,50.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
1872366.7324,414,4,6,0414-04-06,1,-0.1459,0.1485,6402.6,50.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
1872543.63794,414,9,30,0414-09-30,3,0.1437,0.129,6402.6,50.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
1872721.43268,415,3,26,0415-03-26,5,-0.8681,0.8776,6393.2,50.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
1872897.70056,415,9,19,0415-09-19,0,0.8462,0.7841,6393.2,50.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
1873046.47133,416,2,14,0416-02-14,1,1.1228,1.0532,6383.7,50.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
1873222.66186,416,8,9,0416-08-09,3,-1.1289,1.1318,6383.7,50.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
1873252.05975,416,9,7,0416-09-07,4,1.5078,1.4761,6383.7,50.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
1873400.58689,417,2,3,0417-02-03,6,0.4396,0.3959,6374.2,50.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
1873577.35455,417,7,29,0417-07-29,0,-0.3928,0.4007,6374.2,50.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
1873754.55833,418,1,23,0418-01-23,3,-0.2568,0.2321,6364.7,50.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
1873932.02727,418,7,19,0418-07-19,5,0.3484,0.3456,6364.7,50.0,0.64,48.0,10:13,0.6439,0.636,0.5878,47.1,10:15,0.5913,0.5843,0.6634,47.7,10:11,0.6676,0.6587,0.6347,48.5,10:15,0.6381,0.6309,0.6361,50.6,10:21,0.6385,0.6335,1.0461,68.0,10:37,1.0462,1.046,0.9869,66.0,11:11,0.996,0.9771,0.774,69.5,11:23,0.7863,0.7626,0.6634,0.6676,0.6587
1874108.70214,419,1,12,0419-01-12,0,-0.9371,0.8862,6355.3,50.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
1874286.49338,419,7,8,0419-07-08,2,1.1566,1.0872,6355.3,50.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
1874433.67858,419,12,3,0419-12-03,3,1.1537,1.1727,6355.3,50.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
1874611.04526,420,5,28,0420-05-28,5,-0.8673,0.7777,6345.8,50.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
1874788.33257,420,11,21,0420-11-21,0,0.496,0.5033,6345.8,50.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
1874965.11356,421,5,17,0421-05-17,2,-0.0888,0.0816,6336.3,50.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0012,52.9,13:47,0.0073,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.3822,43.9,14:15,0.3825,0.3813,0.3619,28.7,14:31,0.3679,0.3558,0.6387,25.8,14:37,0.6465,0.6309,0.0012,0.0073,0.0
1875142.88421,421,11,11,0421-11-11,5,-0.1898,0.1844,6336.3,50.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.1068,12.3,05:35,0.1228,0.0904,0.0,0.0,0.0
1875319.44498,422,5,6,0422-05-06,6,0.6802,0.6589,6326.8,50.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
1875497.16652,422,10,31,0422-10-31,2,-0.9284,0.854,6326.8,50.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
1875644.7354,423,3,28,0423-03-28,3,-1.1554,1.1793,6317.3,50.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
1875674.04677,423,4,26,0423-04-26,4,1.3794,1.3963,6317.3,50.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
1875821.42596,423,9,20,0423-09-20,4,1.3681,1.2337,6317.3,50.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
1875999.41574,424,3,16,0424-03-16,0,-0.4598,0.4601,6307.8,50.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
1876175.56444,424,9,9,0424-09-09,2,0.6062,0.5702,6307.8,50.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
1876353.91439,425,3,6,0425-03-06,5,0.281,0.267,6298.4,50.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0575,37.7,08:27,0.0739,0.0417,0.1884,43.7,08:11,0.2069,0.1705,0.0,0.0,0.0
1876530.01266,425,8,29,0425-08-29,6,-0.1531,0.1521,6298.4,50.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0745,50.4,09:27,0.0895,0.059,0.0,,,0.0,0.0,0.0623,68.2,10:01,0.0866,0.0378,0.0,0.0,0.0
1876708.10552,426,2,23,0426-02-23,2,1.0458,0.9477,6288.9,50.0,0.3951,25.1,13:45,0.409,0.3814,0.4209,23.1,13:45,0.4337,0.408,0.3953,26.4,13:41,0.4096,0.3811,0.389,24.6,13:45,0.4025,0.3754,0.3489,23.1,13:51,0.3622,0.3357,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.4209,0.4337,0.408
1876884.67396,426,8,19,0426-08-19,4,-0.8598,0.8775,6288.9,50.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
1877032.35289,427,1,13,0427-01-13,4,-1.2489,1.14,6279.4,50.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
1877209.99928,427,7,10,0427-07-10,0,0.9909,0.9691,6279.4,50.0,0.062,41.3,09:10,0.0662,0.058,0.1155,41.0,09:12,0.1194,0.1121,0.0383,40.7,09:08,0.0432,0.0338,0.0674,42.0,09:12,0.0714,0.0637,0.0655,44.9,09:18,0.0684,0.0631,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.1155,0.1194,0.1121
1877386.57942,428,1,3,0428-01-03,2,-0.5031,0.4837,6269.9,50.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
1877564.38606,428,6,28,0428-06-28,4,0.245,0.2269,6269.9,50.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
1877741.09279,428,12,22,0428-12-22,6,0.2024,0.2043,6269.9,50.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0958,7.0,13:53,0.1107,0.0811,0.3406,11.2,14:01,0.3576,0.3236,0.0,0.0,0.0
1877918.48827,429,6,17,0429-06-17,1,-0.5325,0.4779,6260.4,50.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
1878095.74289,429,12,12,0429-12-12,4,0.8624,0.8794,6260.4,50.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
1878242.99078,430,5,8,0430-05-08,4,1.4921,1.3894,6250.9,50.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
1878272.5286,430,6,7,0430-06-07,6,-1.2782,1.1638,6250.9,50.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
1878420.77649,430,11,2,0430-11-02,0,-1.2366,1.1815,6250.9,50.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
1878597.4051,431,4,27,0431-04-27,1,0.6713,0.6602,6241.4,50.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
1878774.97347,431,10,22,0431-10-22,4,-0.5768,0.5243,6241.4,50.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
1878952.05379,432,4,16,0432-04-16,6,-0.086,0.0875,6232.0,50.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.1096,44.4,12:37,0.1138,0.1049,0.43,47.1,12:41,0.4343,0.4251,0.0,0.0,0.0
1879128.95376,432,10,10,0432-10-10,1,0.1157,0.1039,6232.0,50.0,0.0876,5.4,07:33,0.0926,0.0824,0.0423,5.3,07:37,0.0471,0.0373,0.1163,5.0,07:33,0.1213,0.1113,0.0766,6.1,07:35,0.0816,0.0714,0.0513,8.2,07:35,0.057,0.0457,0.2746,22.1,07:31,0.284,0.2648,0.1489,34.5,07:51,0.1613,0.1363,0.3639,42.9,07:53,0.379,0.3487,0.1163,0.1213,0.1113
