date_julian_cal,year,weekday,type,kind,magnitude,best_site,diagnostic,why,note
0434-09-04,434,2,lunar,total,1.467,Armagh,blind,,"Moon 8.1 deg up, 0.12 of umbral phase in a dark sky"
0435-02-28,435,4,lunar,partial umbral,0.27,Iona,blind,,"Moon 8.7 deg up, 0.24 of umbral phase in a dark sky"
0435-08-24,435,,lunar,partial umbral,0.0886,-,borrowed-if-recorded,not visible from Ireland; visible from the Mediterranean,below the Irish horizon throughout the umbral phase
0437-07-03,437,,lunar,total,1.2714,-,borrowed-if-recorded,not visible from Ireland; visible from the Mediterranean,below the Irish horizon throughout the umbral phase
0437-07-19,437,1,solar,partial,0.554,Iona,blind,,UT 04:14 at Armagh
0437-12-13,437,1,solar,partial,0.576,Iona,blind,,UT 10:50 at Armagh
0437-12-28,437,2,lunar,total,1.338,Iona,blind,,"Moon 12.6 deg up, 0.28 of umbral phase in a dark sky"
0438-12-17,438,,lunar,partial umbral,0.0841,-,borrowed-if-recorded,not visible from Ireland; visible from the Mediterranean,below the Irish horizon throughout the umbral phase
0440-05-03,440,5,lunar,partial umbral,0.603,Clonmacnoise,local-if-recorded,"above the Irish horizon, below the Mediterranean one","Moon 7.5 deg up, 0.12 of umbral phase in a dark sky"
0441-10-16,441,4,lunar,total,1.688,Clonmacnoise,blind,,"Moon 25.7 deg up, 0.68 of umbral phase in a dark sky"
0442-09-20,442,0,solar,partial,0.582,Iona,blind,,UT 06:10 at Armagh
0442-10-05,442,1,lunar,partial umbral,0.366,Clonmacnoise,blind,,"Moon 30.9 deg up, 1.0 of umbral phase in a dark sky"
0443-03-17,443,3,solar,partial,0.661,Clonmacnoise,blind,,UT 17:31 at Armagh
0444-02-19,444,6,lunar,total,1.063,Iona,blind,,"Moon 12.5 deg up, 0.32 of umbral phase in a dark sky"
0445-07-20,445,5,solar,partial,0.683,Iona,blind,,UT 18:12 at Armagh
0445-08-03,445,,lunar,total,1.4664,-,borrowed-if-recorded,not visible from Ireland; visible from the Mediterranean,below the Irish horizon throughout the umbral phase
0446-01-29,446,2,lunar,partial umbral,0.066,Clonmacnoise,blind,,"Moon 49.1 deg up, 1.0 of umbral phase in a dark sky"
0446-07-24,446,3,lunar,partial umbral,0.143,Clonmacnoise,blind,,"Moon 15.5 deg up, 1.0 of umbral phase in a dark sky"
0447-12-23,447,2,solar,partial,0.863,Bangor,blind,,UT 13:28 at Armagh
0448-06-03,448,4,lunar,total,1.633,Clonmacnoise,blind,,"Moon 11.9 deg up, 0.48 of umbral phase in a dark sky"
0449-11-16,449,3,lunar,partial umbral,0.422,Clonmacnoise,blind,,"Moon 54.8 deg up, 1.0 of umbral phase in a dark sky"
0451-04-02,451,1,lunar,partial umbral,0.662,Clonmacnoise,blind,,"Moon 20.4 deg up, 0.68 of umbral phase in a dark sky"
0451-09-26,451,3,lunar,partial umbral,0.821,Armagh,blind,,"Moon 17.2 deg up, 0.44 of umbral phase in a dark sky"
0452-09-15,452,1,lunar,total,1.542,Clonmacnoise,blind,,"Moon 33.1 deg up, 1.0 of umbral phase in a dark sky"
0453-02-24,453,2,solar,partial,0.715,Clonmacnoise,blind,,UT 16:51 at Armagh
0453-03-11,453,3,lunar,partial umbral,0.344,Clonmacnoise,blind,,"Moon 39.9 deg up, 1.0 of umbral phase in a dark sky"
0453-09-04,453,5,lunar,partial umbral,0.184,Clonmacnoise,blind,,"Moon 26.1 deg up, 1.0 of umbral phase in a dark sky"
0455-01-19,455,3,lunar,total,1.019,Armagh,blind,,"Moon 41.6 deg up, 1.0 of umbral phase in a dark sky"
0455-07-15,455,5,lunar,total,1.144,Clonmacnoise,blind,,"Moon 14.5 deg up, 1.0 of umbral phase in a dark sky"
0456-01-09,456,1,lunar,total,1.356,Clonmacnoise,blind,,"Moon 58.7 deg up, 1.0 of umbral phase in a dark sky"
0456-07-03,456,,lunar,total,1.2675,-,borrowed-if-recorded,not visible from Ireland; visible from the Mediterranean,below the Irish horizon throughout the umbral phase
0456-12-28,456,5,lunar,partial umbral,0.1,Clonmacnoise,blind,,"Moon 59.1 deg up, 1.0 of umbral phase in a dark sky"
0458-05-28,458,3,solar,deep partial,0.947,Clonmacnoise,blind,,UT 11:18 at Armagh
0458-11-07,458,5,lunar,partial umbral,0.811,Clonmacnoise,blind,,"Moon 52.8 deg up, 1.0 of umbral phase in a dark sky"
0459-10-27,459,,lunar,total,1.7111,-,borrowed-if-recorded,not visible from Ireland; visible from the Mediterranean,below the Irish horizon throughout the umbral phase
0460-09-30,460,5,solar,partial,0.524,Clonmacnoise,blind,,UT 15:25 at Armagh
0460-10-16,460,0,lunar,partial umbral,0.394,Clonmacnoise,blind,,"Moon 29.6 deg up, 1.0 of umbral phase in a dark sky"
0462-03-02,462,5,lunar,total,1.004,Clonmacnoise,blind,,"Moon 43.8 deg up, 1.0 of umbral phase in a dark sky"
0462-08-25,462,6,lunar,partial umbral,0.702,Clonmacnoise,blind,,"Moon 23.4 deg up, 1.0 of umbral phase in a dark sky"
0463-02-19,463,2,lunar,total,1.486,Armagh,blind,,"Moon 18.1 deg up, 0.48 of umbral phase in a dark sky"
0463-08-15,463,4,lunar,total,1.585,Clonmacnoise,blind,,"Moon 22.0 deg up, 1.0 of umbral phase in a dark sky"
0464-02-09,464,0,lunar,partial umbral,0.098,Clonmacnoise,local-if-recorded,"above the Irish horizon, below the Mediterranean one","Moon 12.4 deg up, 0.76 of umbral phase in a dark sky"
0464-07-20,464,1,solar,partial,0.841,Clonmacnoise,blind,,UT 07:44 at Armagh
0465-06-24,465,,lunar,partial umbral,0.1709,-,borrowed-if-recorded,not visible from Ireland; visible from the Mediterranean,below the Irish horizon throughout the umbral phase
0465-12-18,465,6,lunar,partial umbral,0.724,Iona,blind,,"Moon 26.2 deg up, 0.84 of umbral phase in a dark sky"
0466-12-07,466,3,lunar,total,1.636,Clonmacnoise,blind,,"Moon 57.2 deg up, 1.0 of umbral phase in a dark sky"
0467-05-19,467,5,solar,partial,0.708,Iona,blind,,UT 10:14 at Armagh
0467-06-03,467,6,lunar,partial umbral,0.792,Clonmacnoise,blind,,"Moon 11.7 deg up, 0.48 of umbral phase in a dark sky"
0467-11-27,467,1,lunar,partial umbral,0.43,Iona,local-if-recorded,"above the Irish horizon, below the Mediterranean one","Moon 5.1 deg up, 0.08 of umbral phase in a dark sky"
0469-10-07,469,2,lunar,partial umbral,0.77,Clonmacnoise,blind,,"Moon 40.7 deg up, 1.0 of umbral phase in a dark sky"
0470-04-01,470,3,lunar,total,1.728,Clonmacnoise,blind,,"Moon 20.4 deg up, 0.56 of umbral phase in a dark sky"
0473-01-30,473,2,lunar,partial umbral,0.986,Clonmacnoise,blind,,"Moon 46.2 deg up, 1.0 of umbral phase in a dark sky"
0473-08-09,473,4,solar,deep partial,0.95,Iona,local-if-recorded,"deep over Ireland, shallow in the Mediterranean",UT 19:54 at Armagh
0474-01-19,474,6,lunar,total,1.381,Clonmacnoise,local-if-recorded,"above the Irish horizon, below the Mediterranean one","Moon 20.7 deg up, 0.48 of umbral phase in a dark sky"
0474-07-15,474,1,lunar,total,1.395,Clonmacnoise,blind,,"Moon 13.8 deg up, 1.0 of umbral phase in a dark sky"
0475-01-08,475,3,lunar,partial umbral,0.121,Clonmacnoise,local-if-recorded,"above the Irish horizon, below the Mediterranean one","Moon 19.1 deg up, 1.0 of umbral phase in a dark sky"
0475-07-04,475,,lunar,partial umbral,0.0122,-,borrowed-if-recorded,not visible from Ireland; visible from the Mediterranean,below the Irish horizon throughout the umbral phase
0476-05-24,476,,lunar,partial umbral,0.3,-,borrowed-if-recorded,not visible from Ireland; visible from the Mediterranean,below the Irish horizon throughout the umbral phase
0476-06-07,476,1,solar,partial,0.556,Clonmacnoise,blind,,UT 19:41 at Armagh
0476-11-17,476,3,lunar,partial umbral,0.804,Clonmacnoise,local-if-recorded,"above the Irish horizon, below the Mediterranean one","Moon 15.4 deg up, 0.48 of umbral phase in a dark sky"
0477-05-13,477,5,lunar,total,1.671,Clonmacnoise,blind,,"Moon 14.7 deg up, 0.52 of umbral phase in a dark sky"
0477-11-07,477,1,lunar,total,1.726,Clonmacnoise,blind,,"Moon 53.5 deg up, 1.0 of umbral phase in a dark sky"
0478-05-02,478,2,lunar,partial umbral,0.61,Clonmacnoise,blind,,"Moon 18.4 deg up, 1.0 of umbral phase in a dark sky"
0480-03-27,480,4,solar,partial,0.825,Iona,blind,,UT 10:43 at Armagh
0480-09-05,480,5,lunar,partial umbral,0.604,Clonmacnoise,blind,,"Moon 18.0 deg up, 0.6 of umbral phase in a dark sky"
0481-03-02,481,1,lunar,total,1.548,Clonmacnoise,blind,,"Moon 43.1 deg up, 1.0 of umbral phase in a dark sky"
0482-08-14,482,,lunar,partial umbral,0.3763,-,borrowed-if-recorded,not visible from Ireland; visible from the Mediterranean,below the Irish horizon throughout the umbral phase
0483-07-06,483,3,lunar,partial umbral,0.038,Clonmacnoise,blind,,"Moon 10.9 deg up, 1.0 of umbral phase in a dark sky"
0483-12-30,483,5,lunar,partial umbral,0.714,Clonmacnoise,blind,,"Moon 60.3 deg up, 1.0 of umbral phase in a dark sky"
0484-01-14,484.0,6.0,solar,partial,0.0,-,borrowed-if-recorded,"deep in the Mediterranean, effectively invisible from Ireland","Mediterranean magnitude high, Irish magnitude below 0.20"
0484-06-24,484,,lunar,total,1.35,-,borrowed-if-recorded,not visible from Ireland; visible from the Mediterranean,below the Irish horizon throughout the umbral phase
0484-12-18,484,2,lunar,total,1.643,Clonmacnoise,blind,,"Moon 36.9 deg up, 1.0 of umbral phase in a dark sky"
0485-05-29,485,3,solar,partial,0.812,Iona,local-if-recorded,"deep over Ireland, shallow in the Mediterranean",UT 19:04 at Armagh
0485-06-14,485,5,lunar,partial umbral,0.937,Clonmacnoise,blind,,"Moon 7.3 deg up, 0.16 of umbral phase in a dark sky"
0485-12-07,485,6,lunar,partial umbral,0.436,Iona,blind,,"Moon 20.6 deg up, 0.92 of umbral phase in a dark sky"
0486-05-19,486.0,1.0,solar,partial,0.0357,-,borrowed-if-recorded,"deep in the Mediterranean, effectively invisible from Ireland","Mediterranean magnitude high, Irish magnitude below 0.20"
0487-04-23,487,,lunar,partial umbral,0.4259,-,borrowed-if-recorded,not visible from Ireland; visible from the Mediterranean,below the Irish horizon throughout the umbral phase
0487-11-01,487,0,solar,partial,0.875,Clonmacnoise,blind,,UT 10:09 at Armagh
0488-04-12,488,2,lunar,total,1.84,Clonmacnoise,blind,,"Moon 25.3 deg up, 0.88 of umbral phase in a dark sky"
0488-10-06,488,4,lunar,total,1.653,Armagh,blind,,"Moon 10.6 deg up, 0.2 of umbral phase in a dark sky"
0489-04-01,489,,lunar,partial umbral,0.5266,-,borrowed-if-recorded,not visible from Ireland; visible from the Mediterranean,below the Irish horizon throughout the umbral phase
0489-09-25,489,,lunar,partial umbral,0.3359,-,borrowed-if-recorded,not visible from Ireland; visible from the Mediterranean,below the Irish horizon throughout the umbral phase
0491-08-05,491,,lunar,partial umbral,0.9138,-,borrowed-if-recorded,not visible from Ireland; visible from the Mediterranean,below the Irish horizon throughout the umbral phase
0492-01-15,492,3,solar,partial,0.542,Iona,blind,,UT 14:36 at Armagh
0492-01-30,492,4,lunar,total,1.418,Iona,blind,,"Moon 5.4 deg up, 0.04 of umbral phase in a dark sky"
0493-01-18,493,,lunar,partial umbral,0.1518,-,borrowed-if-recorded,not visible from Ireland; visible from the Mediterranean,below the Irish horizon throughout the umbral phase
0493-07-15,493,4,lunar,partial umbral,0.131,Clonmacnoise,blind,,"Moon 13.1 deg up, 1.0 of umbral phase in a dark sky"
0494-06-05,494,0,lunar,partial umbral,0.142,Clonmacnoise,blind,,"Moon 13.9 deg up, 1.0 of umbral phase in a dark sky"
0494-11-28,494,1,lunar,partial umbral,0.8,Iona,blind,,"Moon 13.2 deg up, 0.4 of umbral phase in a dark sky"
0495-05-25,495,4,lunar,total,1.51,Clonmacnoise,blind,,"Moon 13.5 deg up, 0.48 of umbral phase in a dark sky"
0495-11-18,495,6,lunar,total,1.734,Clonmacnoise,local-if-recorded,"above the Irish horizon, below the Mediterranean one","Moon 13.5 deg up, 0.32 of umbral phase in a dark sky"
0496-05-13,496,1,lunar,partial umbral,0.765,Clonmacnoise,blind,,"Moon 7.8 deg up, 0.2 of umbral phase in a dark sky"
0496-11-06,496,3,lunar,partial umbral,0.423,Clonmacnoise,blind,,"Moon 50.9 deg up, 1.0 of umbral phase in a dark sky"
0498-03-23,498,1,lunar,partial umbral,0.849,Armagh,blind,,"Moon 7.0 deg up, 0.12 of umbral phase in a dark sky"
0500-03-02,500,4,lunar,partial umbral,0.202,Clonmacnoise,blind,,"Moon 40.7 deg up, 1.0 of umbral phase in a dark sky"
0500-08-25,500,5,lunar,partial umbral,0.476,Clonmacnoise,blind,,"Moon 26.0 deg up, 1.0 of umbral phase in a dark sky"
0502-01-24,502,4,solar,partial,0.664,Iona,blind,,UT 16:41 at Armagh
0502-07-06,502,6,lunar,total,1.21,Clonmacnoise,blind,,"Moon 12.6 deg up, 1.0 of umbral phase in a dark sky"
0502-12-29,502,,lunar,total,1.6522,-,borrowed-if-recorded,not visible from Ireland; visible from the Mediterranean,below the Irish horizon throughout the umbral phase
0503-12-19,503,5,lunar,partial umbral,0.443,Clonmacnoise,blind,,"Moon 57.7 deg up, 1.0 of umbral phase in a dark sky"
0505-05-04,505,3,lunar,partial umbral,0.297,Clonmacnoise,blind,,"Moon 18.9 deg up, 1.0 of umbral phase in a dark sky"
0505-10-28,505,5,lunar,partial umbral,0.701,Armagh,blind,,"Moon 34.3 deg up, 1.0 of umbral phase in a dark sky"
0506-10-18,506,3,lunar,total,1.69,Clonmacnoise,blind,,"Moon 46.3 deg up, 1.0 of umbral phase in a dark sky"
0507-03-29,507,4,solar,deep partial,0.934,Clonmacnoise,totality-in-ireland,umbral track 6.0 km from the island,UT 13:34 at Armagh
0507-04-13,507,5,lunar,partial umbral,0.636,Clonmacnoise,blind,,"Moon 27.5 deg up, 1.0 of umbral phase in a dark sky"
0507-10-07,507,0,lunar,partial umbral,0.391,Clonmacnoise,blind,,"Moon 41.4 deg up, 1.0 of umbral phase in a dark sky"
0509-02-20,509,5,lunar,partial umbral,0.885,Clonmacnoise,blind,,"Moon 34.1 deg up, 1.0 of umbral phase in a dark sky"
0509-08-16,509,0,lunar,partial umbral,0.814,Clonmacnoise,blind,,"Moon 22.9 deg up, 1.0 of umbral phase in a dark sky"
0509-08-31,509,1,solar,partial,0.552,Iona,blind,,UT 08:26 at Armagh
0510-02-10,510,3,lunar,total,1.465,Clonmacnoise,blind,,"Moon 50.2 deg up, 1.0 of umbral phase in a dark sky"
0510-08-05,510,,lunar,total,1.6259,-,borrowed-if-recorded,not visible from Ireland; visible from the Mediterranean,below the Irish horizon throughout the umbral phase
0511-01-30,511,0,lunar,partial umbral,0.19,Clonmacnoise,blind,,"Moon 52.4 deg up, 1.0 of umbral phase in a dark sky"
0512-12-09,512,0,lunar,partial umbral,0.8,Clonmacnoise,blind,,"Moon 58.9 deg up, 1.0 of umbral phase in a dark sky"
0513-11-28,513,4,lunar,total,1.739,Iona,blind,,"Moon 21.0 deg up, 0.6 of umbral phase in a dark sky"
0514-11-02,514,0,solar,partial,0.509,Clonmacnoise,blind,,UT 16:29 at Armagh
0514-11-18,514,2,lunar,partial umbral,0.427,Clonmacnoise,blind,,"Moon 24.4 deg up, 0.92 of umbral phase in a dark sky"
0516-04-03,516,0,lunar,partial umbral,0.754,Clonmacnoise,blind,,"Moon 31.0 deg up, 1.0 of umbral phase in a dark sky"
0516-09-26,516,1,lunar,partial umbral,0.451,Armagh,blind,,"Moon 22.4 deg up, 0.84 of umbral phase in a dark sky"
0517-03-23,517,4,lunar,total,1.708,Armagh,blind,,"Moon 12.1 deg up, 0.28 of umbral phase in a dark sky"
0517-09-16,517,6,lunar,total,1.834,Clonmacnoise,blind,,"Moon 34.4 deg up, 1.0 of umbral phase in a dark sky"
0518-03-13,518,2,lunar,partial umbral,0.274,Clonmacnoise,local-if-recorded,"above the Irish horizon, below the Mediterranean one","Moon 7.2 deg up, 0.2 of umbral phase in a dark sky"
0520-01-20,520,1,lunar,partial umbral,0.678,Iona,blind,,"Moon 22.4 deg up, 0.72 of umbral phase in a dark sky"
0521-01-09,521,6,lunar,total,1.667,Clonmacnoise,blind,,"Moon 58.0 deg up, 1.0 of umbral phase in a dark sky"
0521-07-05,521,,lunar,total,1.2241,-,borrowed-if-recorded,not visible from Ireland; visible from the Mediterranean,below the Irish horizon throughout the umbral phase
0523-11-09,523,4,lunar,partial umbral,0.68,Clonmacnoise,blind,,"Moon 45.5 deg up, 1.0 of umbral phase in a dark sky"
0524-05-03,524,,lunar,total,1.6641,-,borrowed-if-recorded,not visible from Ireland; visible from the Mediterranean,below the Irish horizon throughout the umbral phase
0527-03-04,527,4,lunar,partial umbral,0.816,Clonmacnoise,blind,,"Moon 36.1 deg up, 1.0 of umbral phase in a dark sky"
0527-09-11,527,6,solar,partial,0.764,Clonmacnoise,blind,,UT 17:47 at Armagh
0528-02-21,528,1,lunar,total,1.528,Clonmacnoise,blind,,"Moon 21.6 deg up, 0.48 of umbral phase in a dark sky"
0528-08-16,528,3,lunar,total,1.726,Clonmacnoise,blind,,"Moon 22.3 deg up, 1.0 of umbral phase in a dark sky"
0529-02-09,529,5,lunar,partial umbral,0.241,Clonmacnoise,blind,,"Moon 20.9 deg up, 0.88 of umbral phase in a dark sky"
0531-06-15,531,,lunar,total,1.1824,-,borrowed-if-recorded,not visible from Ireland; visible from the Mediterranean,below the Irish horizon throughout the umbral phase
0531-06-30,531,1,solar,partial,0.59,Iona,blind,,UT 07:25 at Armagh
0531-12-10,531,3,lunar,total,1.742,Clonmacnoise,blind,,"Moon 59.5 deg up, 1.0 of umbral phase in a dark sky"
0532-06-03,532,,lunar,total,1.0807,-,borrowed-if-recorded,not visible from Ireland; visible from the Mediterranean,below the Irish horizon throughout the umbral phase
0532-11-28,532,,lunar,partial umbral,0.4272,-,borrowed-if-recorded,not visible from Ireland; visible from the Mediterranean,below the Irish horizon throughout the umbral phase
0534-04-29,534,6,solar,partial,0.514,Bangor,blind,,UT 06:23 at Armagh
0534-10-08,534,0,lunar,partial umbral,0.394,Clonmacnoise,blind,,"Moon 37.4 deg up, 1.0 of umbral phase in a dark sky"
0535-04-04,535,3,lunar,total,1.806,Clonmacnoise,blind,,"Moon 30.3 deg up, 1.0 of umbral phase in a dark sky"
0535-09-27,535,4,lunar,total,1.772,Clonmacnoise,blind,,"Moon 15.8 deg up, 0.36 of umbral phase in a dark sky"
0536-09-01,536,1,solar,deep partial,0.946,Armagh,totality-in-ireland,umbral track 9.0 km from the island,UT 12:44 at Armagh
0536-09-15,536,,lunar,partial umbral,0.6364,-,borrowed-if-recorded,not visible from Ireland; visible from the Mediterranean,below the Irish horizon throughout the umbral phase
0538-01-31,538,0,lunar,partial umbral,0.647,Clonmacnoise,blind,,"Moon 54.0 deg up, 1.0 of umbral phase in a dark sky"
0538-02-15,538,1,solar,partial,0.666,Clonmacnoise,blind,,UT 08:15 at Armagh
0539-01-20,539,4,lunar,total,1.69,Clonmacnoise,blind,,"Moon 23.3 deg up, 0.56 of umbral phase in a dark sky"
0539-07-17,539,0,lunar,total,1.363,Clonmacnoise,blind,,"Moon 14.9 deg up, 1.0 of umbral phase in a dark sky"
0540-01-09,540,1,lunar,partial umbral,0.469,Armagh,blind,,"Moon 38.7 deg up, 1.0 of umbral phase in a dark sky"
0540-06-20,540,3,solar,partial,0.544,Clonmacnoise,blind,,UT 07:52 at Armagh
0541-12-03,541,2,solar,partial,0.563,Clonmacnoise,blind,,UT 12:14 at Armagh
0542-05-15,542,4,lunar,total,1.534,Clonmacnoise,blind,,"Moon 16.7 deg up, 1.0 of umbral phase in a dark sky"
0542-11-08,542,6,lunar,total,1.738,Iona,blind,,"Moon 19.0 deg up, 0.44 of umbral phase in a dark sky"
0543-05-04,543,,lunar,partial umbral,0.8771,-,borrowed-if-recorded,not visible from Ireland; visible from the Mediterranean,below the Irish horizon throughout the umbral phase
0543-10-28,543,3,lunar,partial umbral,0.468,Iona,blind,,"Moon 5.4 deg up, 0.08 of umbral phase in a dark sky"
0545-09-06,545,,lunar,partial umbral,0.6486,-,borrowed-if-recorded,not visible from Ireland; visible from the Mediterranean,below the Irish horizon throughout the umbral phase
0547-08-17,547,6,lunar,partial umbral,0.449,Clonmacnoise,blind,,"Moon 21.9 deg up, 1.0 of umbral phase in a dark sky"
0548-12-30,548,3,lunar,partial umbral,0.793,Armagh,blind,,"Moon 34.3 deg up, 1.0 of umbral phase in a dark sky"
0549-06-26,549,6,lunar,total,1.022,Clonmacnoise,blind,,"Moon 12.8 deg up, 0.72 of umbral phase in a dark sky"
0549-07-10,549,6,solar,partial,0.694,Iona,blind,,UT 16:51 at Armagh
0550-06-15,550,3,lunar,total,1.239,Clonmacnoise,blind,,"Moon 12.2 deg up, 1.0 of umbral phase in a dark sky"
0550-11-24,550,4,solar,partial,0.637,Bangor,blind,,UT 08:19 at Armagh
0550-12-10,550,6,lunar,partial umbral,0.425,Clonmacnoise,blind,,"Moon 60.5 deg up, 1.0 of umbral phase in a dark sky"
0552-04-24,552,,lunar,partial umbral,0.5333,-,borrowed-if-recorded,not visible from Ireland; visible from the Mediterranean,below the Irish horizon throughout the umbral phase
0552-05-09,552,4,solar,partial,0.787,Iona,blind,,UT 14:14 at Armagh
0553-10-07,553,,lunar,total,1.7212,-,borrowed-if-recorded,not visible from Ireland; visible from the Mediterranean,below the Irish horizon throughout the umbral phase
0554-04-03,554,5,lunar,partial umbral,0.458,Clonmacnoise,blind,,"Moon 26.1 deg up, 1.0 of umbral phase in a dark sky"
0554-09-27,554,0,lunar,partial umbral,0.697,Clonmacnoise,blind,,"Moon 38.6 deg up, 1.0 of umbral phase in a dark sky"
0556-08-07,556,1,lunar,partial umbral,0.824,Clonmacnoise,blind,,"Moon 19.6 deg up, 1.0 of umbral phase in a dark sky"
0557-01-30,557,2,lunar,total,1.724,Iona,blind,,"Moon 4.8 deg up, 0.04 of umbral phase in a dark sky"
0558-01-20,558,0,lunar,partial umbral,0.49,Clonmacnoise,blind,,"Moon 41.5 deg up, 1.0 of umbral phase in a dark sky"
0559-11-30,559,0,lunar,partial umbral,0.656,Clonmacnoise,blind,,"Moon 51.1 deg up, 1.0 of umbral phase in a dark sky"
0560-11-19,560,5,lunar,total,1.751,Clonmacnoise,blind,,"Moon 56.5 deg up, 1.0 of umbral phase in a dark sky"
0561-04-30,561,6,solar,partial,0.853,Iona,blind,,UT 08:15 at Armagh
0561-05-15,561,0,lunar,total,1.006,Clonmacnoise,blind,,"Moon 17.1 deg up, 1.0 of umbral phase in a dark sky"
0561-11-08,561,2,lunar,partial umbral,0.494,Clonmacnoise,blind,,"Moon 53.0 deg up, 1.0 of umbral phase in a dark sky"
0563-03-25,563,0,lunar,partial umbral,0.634,Armagh,blind,,"Moon 13.9 deg up, 0.4 of umbral phase in a dark sky"
0563-09-18,563,2,lunar,partial umbral,0.584,Clonmacnoise,blind,,"Moon 35.3 deg up, 1.0 of umbral phase in a dark sky"
0563-10-03,563,3,solar,partial,0.775,Iona,blind,,UT 06:57 at Armagh
0564-03-13,564,4,lunar,total,1.694,Clonmacnoise,blind,,"Moon 35.9 deg up, 1.0 of umbral phase in a dark sky"
0564-09-06,564,,lunar,total,1.8845,-,borrowed-if-recorded,not visible from Ireland; visible from the Mediterranean,below the Irish horizon throughout the umbral phase
0565-02-16,565,1,solar,partial,0.87,Clonmacnoise,local-if-recorded,"deep over Ireland, shallow in the Mediterranean",UT 17:21 at Armagh
0565-03-02,565,1,lunar,partial umbral,0.382,Clonmacnoise,blind,,"Moon 37.2 deg up, 1.0 of umbral phase in a dark sky"
0567-01-11,567,2,lunar,partial umbral,0.783,Clonmacnoise,blind,,"Moon 50.8 deg up, 1.0 of umbral phase in a dark sky"
0567-12-31,567,6,lunar,total,1.75,Armagh,blind,,"Moon 42.1 deg up, 1.0 of umbral phase in a dark sky"
0568-12-20,568,4,lunar,partial umbral,0.423,Iona,local-if-recorded,"above the Irish horizon, below the Mediterranean one","Moon 12.9 deg up, 0.44 of umbral phase in a dark sky"
0570-05-06,570,2,lunar,partial umbral,0.41,Clonmacnoise,blind,,"Moon 19.9 deg up, 1.0 of umbral phase in a dark sky"
0570-10-29,570,3,lunar,partial umbral,0.322,Armagh,blind,,"Moon 26.0 deg up, 1.0 of umbral phase in a dark sky"
0571-04-25,571,,lunar,total,1.7298,-,borrowed-if-recorded,not visible from Ireland; visible from the Mediterranean,below the Irish horizon throughout the umbral phase
0571-10-18,571,0,lunar,total,1.684,Clonmacnoise,blind,,"Moon 47.2 deg up, 1.0 of umbral phase in a dark sky"
0572-04-14,572,4,lunar,partial umbral,0.569,Clonmacnoise,blind,,"Moon 12.5 deg up, 0.4 of umbral phase in a dark sky"
0574-02-21,574,3,lunar,partial umbral,0.551,Iona,blind,,"Moon 7.8 deg up, 0.16 of umbral phase in a dark sky"
0575-02-11,575,1,lunar,total,1.767,Clonmacnoise,blind,,"Moon 49.5 deg up, 1.0 of umbral phase in a dark sky"
0577-12-11,577,6,lunar,partial umbral,0.646,Clonmacnoise,blind,,"Moon 39.5 deg up, 1.0 of umbral phase in a dark sky"
0578-11-30,578,3,lunar,total,1.76,Iona,local-if-recorded,"above the Irish horizon, below the Mediterranean one","Moon 9.3 deg up, 0.16 of umbral phase in a dark sky"
0579-11-19,579,0,lunar,partial umbral,0.51,Iona,local-if-recorded,"above the Irish horizon, below the Mediterranean one","Moon 9.4 deg up, 0.24 of umbral phase in a dark sky"
0581-04-05,581,6,lunar,partial umbral,0.523,Clonmacnoise,blind,,"Moon 28.3 deg up, 1.0 of umbral phase in a dark sky"
0581-10-13,581,1,solar,partial,0.582,Clonmacnoise,blind,,UT 16:52 at Armagh
0582-03-25,582,3,lunar,total,1.797,Clonmacnoise,blind,,"Moon 27.1 deg up, 0.72 of umbral phase in a dark sky"
0582-09-18,582,5,lunar,total,1.815,Clonmacnoise,blind,,"Moon 34.7 deg up, 1.0 of umbral phase in a dark sky"
0583-03-14,583,0,lunar,partial umbral,0.471,Clonmacnoise,blind,,"Moon 26.4 deg up, 0.92 of umbral phase in a dark sky"
0583-09-07,583,,lunar,partial umbral,0.6071,-,borrowed-if-recorded,not visible from Ireland; visible from the Mediterranean,below the Irish horizon throughout the umbral phase
0585-08-01,585,3,solar,deep partial,0.935,Iona,blind,,UT 06:03 at Armagh
0586-01-11,586,5,lunar,total,1.762,Clonmacnoise,blind,,"Moon 50.1 deg up, 1.0 of umbral phase in a dark sky"
0586-12-31,586,2,lunar,partial umbral,0.425,Iona,blind,,"Moon 14.8 deg up, 0.52 of umbral phase in a dark sky"
0587-06-26,587,4,lunar,partial umbral,0.196,Clonmacnoise,blind,,"Moon 11.5 deg up, 1.0 of umbral phase in a dark sky"
0588-11-09,588,2,lunar,partial umbral,0.299,Clonmacnoise,blind,,"Moon 48.8 deg up, 1.0 of umbral phase in a dark sky"
0589-05-06,589,5,lunar,total,1.601,Clonmacnoise,blind,,"Moon 19.2 deg up, 1.0 of umbral phase in a dark sky"
0589-10-29,589,6,lunar,total,1.659,Clonmacnoise,blind,,"Moon 20.9 deg up, 0.52 of umbral phase in a dark sky"
0590-10-04,590,3,solar,partial,0.719,Iona,blind,,UT 10:30 at Armagh
0590-10-18,590,3,lunar,partial umbral,0.783,Armagh,blind,,"Moon 21.0 deg up, 0.6 of umbral phase in a dark sky"
0592-03-04,592,2,lunar,partial umbral,0.483,Clonmacnoise,blind,,"Moon 42.3 deg up, 1.0 of umbral phase in a dark sky"
0592-03-19,592,3,solar,partial,0.573,Bangor,blind,,UT 09:00 at Armagh
