  200 lunar eclipses, at 0480-03-12, 123s
  400 lunar eclipses, at 0559-11-30, 245s
  600 lunar eclipses, at 0636-10-20, 365s
  800 lunar eclipses, at 0716-01-13, 486s
  1000 lunar eclipses, at 0798-08-01, 611s
  1200 lunar eclipses, at 0886-11-15, 742s
  1400 lunar eclipses, at 0974-03-11, 870s
  1600 lunar eclipses, at 1055-10-08, 993s
  1800 lunar eclipses, at 1135-06-27, 1113s
